Order_ID,Order_Date,Region,Category,Sales,Profit,Quantity,Discount
ORD-0011,2024-11-01,East,Technology,4929.69,-168.09,12,0.06
ORD-0035,2024-11-01,West,Office Supplies,4689.98,469.1,13,0.48
ORD-0034,2024-11-01,West,Office Supplies,1995.0,683.25,1,0.21
ORD-0022,2024-12-01,West,Furniture,4192.98,1078.14,5,0.31
ORD-0025,2024-12-01,West,Furniture,299.8,1138.15,10,0.19
ORD-0031,2024-12-01,West,Technology,3261.35,-211.86,8,0.17
ORD-0037,2024-12-01,West,Office Supplies,1771.23,545.51,5,0.21
ORD-0065,2024-12-01,Central,Technology,124.8,-12.88,14,0.05
ORD-0038,2024-12-01,South,Furniture,656.02,1183.09,6,0.28
ORD-0063,2024-12-01,West,Furniture,597.21,291.52,4,0.25
ORD-0062,2024-12-01,East,Office Supplies,145.07,-438.9,7,0.24
ORD-0054,2024-12-01,Central,Furniture,4495.84,604.94,14,0.15
ORD-0028,2024-12-01,South,Furniture,181.28,154.67,14,0.13
ORD-0040,2024-12-01,South,Office Supplies,4398.96,381.16,7,0.37
