TV,Radio,Newspaper,Sales
101.3,5.8,66.7,7.82
282.9,2.3,92.3,18.15
97.0,2.0,113.4,7.06
155.6,42.8,102.0,18.42
210.9,35.2,29.7,18.67
109.1,23.7,54.1,13.23
291.5,4.9,15.5,18.1
288.7,24.6,114.5,22.79
75.5,23.7,72.7,10.32
149.2,8.7,27.4,11.28
90.3,21.7,80.6,10.02
85.5,19.9,74.2,10.2
11.1,30.8,43.0,9.72
182.9,31.8,13.6,18.42
150.8,2.3,80.6,9.45
15.4,18.7,62.4,8.49
83.6,31.3,92.7,14.74
272.5,25.2,62.4,21.11
71.9,42.8,102.3,17.02
43.5,32.9,66.2,10.08
146.8,8.1,67.3,9.82
295.7,3.5,105.2,15.35
72.6,32.1,48.4,14.43
201.6,1.3,16.1,13.67
228.5,29.3,3.5,18.95
71.3,47.0,90.6,15.47
218.5,28.8,74.4,17.1
110.3,19.4,84.5,15.35
189.7,32.2,25.6,17.97
190.1,22.9,16.4,16.26
160.7,27.3,1.7,16.49
27.1,47.1,42.1,13.55
250.6,19.3,70.8,18.78
96.2,48.1,47.1,15.21
56.0,45.3,52.5,14.6
12.2,9.8,108.5,8.3
177.3,3.5,41.8,13.97
203.3,5.0,61.7,15.87
5.0,0.9,94.0,2.96
153.6,4.7,47.6,9.82
67.9,34.2,74.7,12.4
193.6,3.6,103.5,13.14
52.3,15.9,113.9,10.19
207.3,42.2,17.6,18.02
116.0,1.2,111.2,11.14
281.0,40.7,59.1,23.49
41.3,14.1,31.0,6.97
102.3,5.9,55.1,7.62
34.0,34.8,117.6,8.9
277.4,31.4,59.1,23.02
263.2,43.9,39.5,23.49
77.4,36.8,76.0,11.68
198.0,40.2,28.8,17.82
245.2,14.1,9.1,16.62
166.6,8.9,15.5,14.82
158.9,37.5,15.4,16.9
72.6,40.3,18.2,11.62
27.9,49.5,16.7,12.93
269.2,20.6,76.9,19.21
270.1,18.6,21.8,15.33
189.9,38.8,41.5,18.96
101.7,17.0,107.6,10.84
104.8,46.5,56.9,17.44
217.8,42.9,80.1,23.79
269.1,21.4,20.7,21.14
266.1,37.5,23.1,21.95
234.0,37.7,4.9,19.25
