customerID,SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,MonthlyCharges,TotalCharges,TechSupport,Churn
C0045,0,Yes,No,62,Fiber optic,Month-to-month,18.21,1136.33,No,Yes
C0046,0,Yes,No,72,DSL,Month-to-month,91.19,6669.3,Yes,Yes
C0047,0,No,Yes,32,DSL,One year,102.62,3640.46,No,Yes
C0048,0,Yes,No,40,DSL,Month-to-month,22.14,1078.91,No,No
C0049,0,Yes,Yes,47,No,One year,106.9,5355.54,Yes,No
C0050,0,Yes,No,12,Fiber optic,Month-to-month,44.18,703.64,No,No
C0051,1,Yes,No,72,Fiber optic,Month-to-month,85.86,6377.3,Yes,Yes
C0052,0,No,No,30,Fiber optic,Month-to-month,99.64,3068.54,Yes,Yes
C0053,1,Yes,No,67,DSL,Month-to-month,85.59,5863.65,No,No
C0054,0,No,No,3,DSL,Month-to-month,27.41,384.94,No,Yes
C0055,1,No,No,18,Fiber optic,One year,78.82,1635.34,No,Yes
C0056,0,Yes,No,69,Fiber optic,Two year,74.06,5497.29,No,No
C0057,0,No,No,12,No,Two year,109.83,1744.25,Yes,No
C0058,0,No,No,22,Fiber optic,Month-to-month,59.23,1573.88,No,Yes
C0059,0,Yes,Yes,0,Fiber optic,Month-to-month,50.75,379.13,No,Yes
C0060,0,No,Yes,53,Fiber optic,Month-to-month,94.48,5160.89,No,Yes
C0061,0,No,Yes,70,No,Month-to-month,60.09,4413.79,No,No
C0062,0,Yes,Yes,14,Fiber optic,Month-to-month,83.9,1530.99,No,No
C0063,0,Yes,No,64,DSL,Month-to-month,83.94,5565.27,No,Yes
C0064,0,Yes,No,70,Fiber optic,Month-to-month,108.58,7894.85,No,Yes
C0065,0,Yes,No,14,Fiber optic,Two year,79.07,1199.67,Yes,Yes
C0066,0,Yes,Yes,20,Fiber optic,Month-to-month,69.22,1684.29,No,Yes
C0067,0,No,No,18,DSL,Month-to-month,32.16,1009.64,Yes,No
C0068,0,No,No,59,No,Month-to-month,29.81,2193.11,Yes,No
C0069,0,Yes,Yes,32,No,Month-to-month,33.74,1441.85,Yes,No
C0070,1,Yes,No,48,DSL,Two year,35.53,2078.32,No,No
C0071,0,No,No,34,No,Month-to-month,83.06,3103.0,No,No
C0072,0,Yes,No,43,DSL,Month-to-month,93.58,4316.27,No,No
C0073,0,Yes,No,10,DSL,Month-to-month,72.06,787.43,No,Yes
C0074,0,No,No,71,DSL,Month-to-month,102.56,7503.69,No,Yes
C0075,0,No,Yes,65,DSL,Month-to-month,119.11,7967.54,No,Yes
C0076,0,No,No,45,No,Two year,101.64,5053.05,Yes,No
C0077,0,Yes,Yes,8,DSL,Two year,88.88,926.58,No,No
C0078,0,No,No,2,DSL,One year,72.31,419.29,No,No
C0079,0,Yes,No,25,DSL,Month-to-month,63.78,1861.13,No,No
C0080,0,No,No,71,DSL,Two year,26.61,2207.69,No,No
C0081,0,Yes,No,47,DSL,Month-to-month,58.74,3134.9,Yes,No
C0082,0,Yes,No,65,Fiber optic,Month-to-month,110.83,7316.47,No,Yes
C0083,1,Yes,Yes,69,DSL,One year,100.42,7193.34,No,No
C0084,0,No,No,27,No,Month-to-month,40.04,1494.04,No,Yes
C0085,0,No,No,25,No,Month-to-month,65.59,1871.31,Yes,Yes
C0086,0,No,No,24,DSL,One year,101.31,2570.67,No,No
C0087,0,Yes,No,11,No,Month-to-month,24.87,600.92,No,Yes
C0088,0,No,Yes,4,DSL,One year,57.51,641.92,Yes,No
C0089,0,No,Yes,47,DSL,Month-to-month,104.89,4961.4,No,Yes
C0090,0,Yes,No,36,DSL,Two year,59.2,2519.6,No,No
C0091,0,Yes,No,43,DSL,Two year,25.92,1525.38,No,No
C0092,0,No,Yes,14,Fiber optic,Two year,73.34,1257.52,No,No
C0093,0,No,No,42,Fiber optic,Month-to-month,105.9,4939.45,No,Yes
C0094,0,No,No,47,DSL,Month-to-month,78.21,4069.22,No,No
C0095,0,Yes,Yes,69,Fiber optic,Month-to-month,41.08,3221.35,Yes,No
C0096,0,No,No,45,DSL,Month-to-month,57.19,2947.47,Yes,No
C0097,0,Yes,No,42,Fiber optic,Month-to-month,63.91,2759.52,Yes,No
C0098,0,Yes,No,20,DSL,One year,77.09,1650.42,No,No
C0099,1,No,No,22,DSL,Month-to-month,95.45,2331.9,No,No
C0100,0,No,No,46,DSL,Two year,28.09,1424.14,No,No
C0101,0,Yes,No,14,DSL,Month-to-month,108.74,1729.98,No,No
C0102,0,Yes,Yes,24,Fiber optic,Month-to-month,19.26,906.47,No,Yes
C0103,1,No,Yes,35,No,Month-to-month,55.75,2363.41,No,Yes
C0104,0,No,No,50,DSL,Two year,20.8,1355.02,Yes,No
C0105,0,No,No,14,Fiber optic,One year,58.08,1242.18,No,No
C0106,0,Yes,Yes,67,Fiber optic,Two year,71.63,5191.1,No,Yes
C0107,0,Yes,No,20,No,Two year,70.19,1618.29,No,No
C0108,0,No,Yes,12,DSL,Month-to-month,34.89,519.21,No,No
C0109,0,Yes,No,18,Fiber optic,Month-to-month,83.87,1766.76,No,No
C0110,0,Yes,No,33,No,Month-to-month,22.57,1112.92,Yes,No
C0111,0,No,No,67,Fiber optic,One year,95.71,6630.78,No,No
C0112,0,Yes,No,51,Fiber optic,Month-to-month,114.56,6175.95,No,No
C0113,0,No,Yes,26,DSL,Month-to-month,52.66,1416.32,No,No
C0114,0,No,No,28,DSL,Two year,70.76,2355.28,No,No
C0115,0,Yes,No,27,Fiber optic,Two year,56.65,1935.91,No,No
C0116,0,Yes,No,34,Fiber optic,One year,18.68,988.54,No,No
C0117,0,No,Yes,7,DSL,One year,57.36,885.15,No,No
C0118,0,Yes,No,15,Fiber optic,One year,98.76,1894.73,No,No
C0119,0,No,Yes,35,Fiber optic,Month-to-month,78.79,3209.2,No,Yes
C0120,0,Yes,No,29,Fiber optic,Month-to-month,28.33,1288.36,No,No
C0121,0,Yes,No,17,Fiber optic,One year,104.41,2175.64,No,Yes
C0122,0,Yes,No,1,No,One year,72.17,409.3,No,No
C0123,0,No,No,48,DSL,Month-to-month,103.86,4988.14,Yes,No
C0124,0,Yes,Yes,3,No,Two year,77.18,464.45,No,No
C0125,0,No,Yes,6,DSL,Month-to-month,75.09,736.12,Yes,Yes
C0126,0,No,No,38,DSL,Month-to-month,28.74,1244.14,No,Yes
C0127,0,No,Yes,12,DSL,One year,35.07,579.89,Yes,Yes
C0128,0,Yes,Yes,30,DSL,Month-to-month,117.15,3995.08,Yes,Yes
C0129,0,No,No,70,DSL,Month-to-month,41.31,3337.56,Yes,No
C0130,0,No,Yes,62,DSL,Month-to-month,117.7,7721.99,Yes,Yes
C0131,0,Yes,No,55,No,One year,72.26,4177.31,No,Yes
C0132,1,No,Yes,41,DSL,Month-to-month,31.85,1312.7,No,Yes
C0133,0,No,No,60,Fiber optic,One year,28.13,1727.91,No,No
C0134,0,Yes,No,41,DSL,One year,39.3,1767.4,No,No
C0135,0,No,No,55,No,Month-to-month,112.42,6190.97,No,No
C0136,0,Yes,Yes,35,Fiber optic,Two year,60.24,2116.97,Yes,No
C0137,0,No,No,67,DSL,Month-to-month,58.33,4366.41,No,No
C0138,0,No,No,6,Fiber optic,Two year,49.95,652.78,Yes,Yes
C0139,0,Yes,No,53,Fiber optic,Month-to-month,33.0,1903.48,No,Yes
C0140,0,No,No,0,Fiber optic,Two year,67.76,66.32,No,No
C0141,0,No,No,43,Fiber optic,Month-to-month,31.26,1600.0,Yes,Yes
C0142,0,No,Yes,44,Fiber optic,Month-to-month,103.22,4544.35,No,Yes
C0143,0,Yes,No,46,Fiber optic,Month-to-month,55.78,3035.09,No,Yes
C0144,0,Yes,No,12,Fiber optic,Month-to-month,56.23,882.17,No,Yes
C0145,1,Yes,No,21,DSL,One year,66.35,1594.52,No,No
C0146,0,Yes,Yes,20,No,Month-to-month,63.3,1461.3,Yes,Yes
C0147,0,Yes,No,8,Fiber optic,One year,119.48,990.5,No,No
C0148,0,No,No,25,Fiber optic,Month-to-month,73.63,2159.91,Yes,No
C0149,0,Yes,Yes,8,DSL,Month-to-month,27.0,582.5,No,No
C0150,0,Yes,Yes,14,Fiber optic,One year,79.9,1456.66,Yes,No
C0151,1,Yes,Yes,9,No,Month-to-month,33.46,370.36,No,Yes
C0152,0,No,No,41,DSL,One year,21.16,1156.98,No,No
C0153,1,No,Yes,71,Fiber optic,One year,117.02,8593.16,No,No
C0154,0,Yes,No,23,Fiber optic,Two year,96.9,2662.91,No,Yes
C0155,0,No,No,48,No,Month-to-month,117.97,5852.12,No,No
C0156,1,No,No,25,Fiber optic,One year,66.74,1854.24,No,No
C0157,0,No,No,36,DSL,Two year,72.29,2911.7,No,No
C0158,0,No,Yes,67,No,One year,35.17,2672.93,Yes,Yes
C0159,0,Yes,No,49,Fiber optic,Month-to-month,43.18,2350.46,No,No
C0160,1,Yes,No,23,DSL,One year,103.53,2602.72,Yes,Yes
C0161,0,No,No,18,DSL,One year,54.33,1225.01,Yes,Yes
C0162,1,No,Yes,59,Fiber optic,One year,102.34,6468.58,No,Yes
C0163,0,No,No,38,DSL,Month-to-month,90.32,3662.74,No,Yes
C0164,0,No,No,17,DSL,Month-to-month,36.07,1083.16,No,No
C0165,0,Yes,No,18,No,Two year,69.76,1507.68,Yes,No
C0166,0,No,No,35,DSL,Month-to-month,87.09,3522.75,No,Yes
C0167,1,Yes,No,54,Fiber optic,One year,41.97,2682.8,Yes,No
C0168,0,No,Yes,68,DSL,Month-to-month,102.73,7166.86,Yes,Yes
C0169,0,Yes,No,46,Fiber optic,Month-to-month,73.57,3816.04,Yes,Yes
C0170,0,No,No,48,Fiber optic,Month-to-month,34.85,1727.83,No,No
C0171,0,Yes,No,32,DSL,Month-to-month,77.46,2941.24,No,Yes
C0172,0,Yes,Yes,20,Fiber optic,Two year,119.97,2715.22,Yes,No
C0173,1,Yes,No,21,DSL,Two year,33.35,727.55,No,No
C0174,1,No,Yes,47,No,One year,101.31,5083.7,Yes,No
C0175,0,Yes,No,36,No,Month-to-month,39.15,1896.52,No,No
C0176,1,No,No,14,Fiber optic,One year,97.8,1404.1,No,No
C0177,1,Yes,Yes,34,Fiber optic,One year,92.93,3436.96,No,No
C0178,0,Yes,No,70,DSL,One year,48.65,3779.4,No,No
C0179,0,No,No,31,Fiber optic,Month-to-month,51.23,1993.26,No,No
C0180,1,Yes,No,10,Fiber optic,One year,98.84,1195.31,No,Yes
C0181,0,No,No,9,DSL,One year,65.07,687.71,No,No
C0182,1,No,No,72,Fiber optic,Two year,92.54,6684.05,No,No
C0183,0,No,No,56,DSL,Month-to-month,33.09,2142.9,No,No
C0184,0,No,Yes,24,Fiber optic,One year,104.96,2745.5,Yes,Yes
C0185,0,Yes,No,1,DSL,One year,90.51,564.88,No,Yes
C0186,0,Yes,No,63,Fiber optic,Month-to-month,110.51,6992.43,No,Yes
C0187,0,No,No,34,DSL,Month-to-month,31.5,1413.7,Yes,No
C0188,0,Yes,No,6,DSL,Month-to-month,78.49,483.42,No,No
C0189,0,Yes,No,17,Fiber optic,Month-to-month,79.11,1430.59,No,No
C0190,0,No,No,66,No,Month-to-month,54.05,3794.09,No,No
C0191,0,Yes,Yes,41,Fiber optic,One year,64.76,2882.6,No,No
C0192,1,No,No,38,DSL,One year,21.87,1173.91,No,No
C0193,0,Yes,No,40,DSL,One year,94.08,4218.31,No,No
C0194,0,Yes,No,23,No,Two year,74.03,2022.21,No,No
C0195,0,No,No,59,Fiber optic,Month-to-month,23.89,1886.28,No,Yes
C0196,0,Yes,No,45,DSL,Month-to-month,87.44,4375.61,No,Yes
C0197,0,Yes,No,18,No,One year,65.61,1473.23,No,No
C0198,0,No,No,67,No,Month-to-month,21.52,1858.74,No,No
C0199,0,Yes,No,41,No,Month-to-month,116.9,5114.19,No,Yes
C0200,0,No,No,31,No,Month-to-month,114.81,3598.39,No,No
C0201,0,Yes,No,38,No,Month-to-month,70.32,3042.44,Yes,No
C0202,1,No,No,35,DSL,Two year,27.55,1011.7,Yes,No
C0203,0,No,No,35,DSL,Month-to-month,94.97,3620.99,No,Yes
C0204,1,No,No,2,Fiber optic,Month-to-month,68.18,487.68,No,Yes
C0205,1,No,No,72,Fiber optic,Month-to-month,48.85,3550.46,Yes,Yes
C0206,1,No,No,7,Fiber optic,One year,68.12,592.24,Yes,Yes
C0207,1,Yes,No,69,Fiber optic,Month-to-month,71.29,5376.85,Yes,Yes
C0208,0,Yes,No,40,Fiber optic,One year,75.4,3324.16,No,No
C0209,0,No,No,67,Fiber optic,Month-to-month,63.0,4344.14,Yes,Yes
C0210,0,Yes,No,12,DSL,Month-to-month,79.79,1302.82,No,No
C0211,0,No,Yes,48,DSL,Month-to-month,111.71,5660.47,No,No
C0212,0,Yes,No,59,Fiber optic,Month-to-month,54.95,3492.84,No,Yes
C0213,0,Yes,No,1,Fiber optic,Month-to-month,92.02,580.11,No,Yes
C0214,1,No,No,59,DSL,Month-to-month,109.23,6786.3,Yes,Yes
C0215,1,No,No,4,Fiber optic,Two year,64.51,445.76,No,Yes
C0216,0,Yes,Yes,43,Fiber optic,Month-to-month,63.23,3118.93,No,Yes
C0217,0,Yes,Yes,26,Fiber optic,One year,79.42,2507.21,No,No
C0218,1,No,No,31,DSL,Month-to-month,78.32,2490.53,No,Yes
C0219,0,Yes,No,20,Fiber optic,Month-to-month,100.27,2105.68,No,No
C0220,0,Yes,No,7,DSL,Month-to-month,66.6,574.31,Yes,No
C0221,0,No,No,71,No,Two year,119.6,8837.21,No,No
C0222,0,Yes,No,49,DSL,Month-to-month,24.07,1480.95,Yes,Yes
C0223,0,No,No,66,Fiber optic,Month-to-month,18.32,1518.62,No,No
C0224,1,No,Yes,43,DSL,Month-to-month,83.3,4052.29,Yes,Yes
C0225,0,No,Yes,57,Fiber optic,Month-to-month,48.44,3149.04,No,Yes
C0226,0,Yes,No,2,Fiber optic,Month-to-month,42.52,149.01,No,Yes
C0227,0,Yes,No,69,DSL,One year,49.81,3610.64,Yes,No
C0228,0,No,No,1,Fiber optic,Month-to-month,44.12,261.82,No,Yes
C0229,1,No,No,43,DSL,Month-to-month,21.14,1107.0,Yes,Yes
C0230,0,Yes,No,1,DSL,One year,117.1,451.75,Yes,Yes
C0231,0,Yes,Yes,34,Fiber optic,Month-to-month,40.52,1823.63,No,Yes
C0232,0,Yes,No,29,DSL,Month-to-month,92.87,2846.26,No,Yes
C0233,0,No,No,7,No,Month-to-month,95.78,946.4,No,Yes
C0234,0,No,No,21,Fiber optic,One year,112.78,2763.08,Yes,No
C0235,0,Yes,No,43,Fiber optic,Month-to-month,21.12,1116.27,No,No
C0236,0,Yes,No,57,DSL,Month-to-month,106.95,6180.21,No,Yes
C0237,0,Yes,No,35,Fiber optic,Month-to-month,71.78,2749.78,No,No
C0238,0,No,Yes,68,Fiber optic,One year,82.52,5638.97,No,No
C0239,1,No,No,30,DSL,Month-to-month,83.74,2983.39,No,Yes
C0240,1,Yes,Yes,46,No,One year,101.62,4711.93,No,Yes
C0241,0,Yes,No,54,DSL,Two year,52.01,3027.77,No,Yes
C0242,0,No,No,61,No,One year,92.77,5923.91,No,No
C0243,0,No,No,29,DSL,Month-to-month,71.91,2578.04,No,Yes
C0244,1,Yes,No,54,No,Month-to-month,98.93,5425.23,Yes,Yes
C0245,0,Yes,Yes,15,Fiber optic,Month-to-month,119.04,1842.82,No,Yes
C0246,0,Yes,Yes,11,DSL,Month-to-month,38.47,427.52,No,Yes
C0247,0,No,No,16,DSL,Month-to-month,119.45,1988.99,Yes,Yes
C0248,0,Yes,Yes,15,Fiber optic,One year,27.16,511.04,Yes,No
C0249,0,No,No,11,No,Month-to-month,18.24,515.93,No,Yes
C0250,0,No,Yes,7,DSL,Month-to-month,22.5,267.35,Yes,No
C0251,0,Yes,No,2,DSL,One year,52.86,115.98,No,No
C0252,0,Yes,No,15,Fiber optic,One year,82.56,1651.71,No,Yes
C0253,0,No,No,29,Fiber optic,Month-to-month,25.04,908.96,No,Yes
C0254,0,Yes,No,22,Fiber optic,Two year,18.58,585.61,Yes,No
C0255,0,No,No,4,Fiber optic,Month-to-month,113.58,605.56,No,Yes
C0256,0,Yes,No,64,DSL,One year,101.84,7005.45,No,No
C0257,1,Yes,Yes,29,No,One year,100.54,3000.72,No,No
C0258,0,Yes,No,20,Fiber optic,One year,108.21,2613.32,No,Yes
C0259,0,Yes,No,69,DSL,One year,89.4,6557.0,No,No
C0260,0,No,No,21,Fiber optic,Month-to-month,28.65,639.89,No,Yes
C0261,1,No,No,71,Fiber optic,Month-to-month,58.71,4661.77,No,Yes
C0262,0,No,No,31,DSL,One year,91.76,2980.24,No,Yes
C0263,0,Yes,No,32,Fiber optic,Month-to-month,46.59,1540.17,No,Yes
C0264,1,No,No,15,DSL,Two year,88.12,1736.46,Yes,Yes
C0265,0,No,No,37,Fiber optic,Month-to-month,20.5,1111.84,No,Yes
C0266,0,No,No,13,No,Month-to-month,49.23,948.6,No,No
C0267,0,Yes,No,35,DSL,Month-to-month,74.01,2668.34,No,No
C0268,0,No,Yes,22,Fiber optic,Month-to-month,82.47,2053.59,No,Yes
C0269,1,Yes,No,65,No,One year,76.86,5386.18,Yes,No
C0270,0,Yes,No,1,No,One year,89.17,240.98,Yes,No
C0271,0,No,No,72,Fiber optic,One year,18.62,1496.48,Yes,Yes
C0272,0,Yes,No,64,Fiber optic,Two year,28.3,1812.77,Yes,No
C0273,0,No,No,66,Fiber optic,Two year,106.63,7124.7,No,Yes
C0274,0,No,No,51,No,Two year,87.54,4902.24,Yes,No
C0275,0,No,No,61,No,Month-to-month,29.52,2021.59,Yes,No
C0276,0,No,No,22,DSL,One year,103.89,2777.7,No,No
C0277,0,No,No,25,Fiber optic,Month-to-month,42.71,1265.6,No,No
C0278,0,Yes,No,67,Fiber optic,Month-to-month,66.78,4831.85,No,Yes
C0279,0,No,No,54,Fiber optic,One year,32.81,1912.7,No,No
C0280,0,Yes,No,5,Fiber optic,Month-to-month,90.43,634.05,No,Yes
C0281,0,No,Yes,34,Fiber optic,Month-to-month,86.02,3020.04,Yes,Yes
C0282,0,No,No,21,No,Month-to-month,39.53,1003.66,No,Yes
C0283,0,No,No,42,DSL,Month-to-month,106.07,4728.56,Yes,No
C0284,0,Yes,No,14,DSL,Two year,58.93,1320.91,No,No
C0285,0,Yes,No,59,Fiber optic,Month-to-month,47.84,3154.66,No,No
C0286,0,Yes,No,11,DSL,Month-to-month,33.54,468.56,No,No
C0287,1,Yes,No,48,DSL,Month-to-month,45.15,2189.68,No,No
C0288,0,No,No,41,DSL,Month-to-month,20.25,893.43,No,Yes
C0289,0,No,Yes,37,Fiber optic,Two year,77.49,3148.41,Yes,Yes
C0290,0,Yes,No,44,No,Month-to-month,103.91,4954.62,No,Yes
C0291,0,Yes,No,34,Fiber optic,Month-to-month,74.0,2986.21,No,Yes
C0292,0,Yes,No,29,Fiber optic,One year,40.37,1178.64,No,No
C0293,1,No,No,29,DSL,Two year,21.43,882.85,Yes,No
C0294,0,Yes,Yes,5,Fiber optic,One year,39.89,434.88,No,No
C0295,0,Yes,No,66,Fiber optic,Two year,60.44,4317.07,No,No
C0296,0,No,No,6,Fiber optic,Month-to-month,95.48,852.67,No,No
C0297,0,Yes,No,51,DSL,Month-to-month,37.16,2238.68,No,Yes
C0298,0,No,No,13,DSL,Month-to-month,91.42,1517.5,No,Yes
C0299,0,No,No,72,DSL,Two year,106.43,7721.47,No,No
C0300,0,No,No,14,Fiber optic,Month-to-month,64.3,1300.06,No,No
C0301,0,No,No,20,No,Month-to-month,101.79,2097.42,No,Yes
C0302,0,No,No,34,No,Month-to-month,74.58,2884.99,No,Yes
C0303,0,Yes,No,65,Fiber optic,Month-to-month,82.98,5601.77,No,Yes
C0304,0,Yes,No,1,Fiber optic,Month-to-month,71.68,328.61,Yes,Yes
C0305,0,No,Yes,34,No,Two year,65.24,2669.81,Yes,No
C0306,0,No,No,19,DSL,Month-to-month,41.93,1241.61,No,No
C0307,1,Yes,Yes,9,Fiber optic,One year,48.93,849.3,Yes,Yes
C0308,0,Yes,Yes,24,No,One year,47.58,1396.99,No,No
C0309,1,No,No,65,DSL,Month-to-month,75.46,5273.02,No,Yes
C0310,1,Yes,No,24,No,Month-to-month,30.24,982.21,No,No
C0311,1,Yes,Yes,53,No,Month-to-month,111.51,6344.83,No,No
C0312,0,No,No,32,Fiber optic,Month-to-month,91.51,3129.71,No,Yes
C0313,0,Yes,No,35,No,One year,58.95,2548.37,Yes,No
C0314,0,Yes,No,13,Fiber optic,Month-to-month,34.18,910.5,No,Yes
C0315,0,Yes,No,64,Fiber optic,Month-to-month,107.96,7280.24,No,Yes
C0316,0,Yes,No,53,DSL,Month-to-month,102.03,5547.3,No,Yes
C0317,0,No,No,51,DSL,Two year,91.62,4738.45,No,No
C0318,0,Yes,Yes,2,DSL,Two year,45.7,518.75,No,No
C0319,0,No,Yes,40,Fiber optic,Two year,59.05,2444.65,Yes,No
C0320,1,Yes,Yes,5,DSL,One year,28.48,569.53,No,Yes
C0321,1,No,No,24,DSL,Month-to-month,37.28,1140.1,No,Yes
C0322,1,No,No,12,DSL,One year,97.87,1377.72,Yes,No
C0323,0,Yes,No,7,Fiber optic,Month-to-month,90.93,1088.11,No,Yes
C0324,1,No,No,20,No,One year,78.54,1872.73,No,No
C0325,0,No,No,67,No,One year,109.36,7615.43,No,No
C0326,0,No,No,24,Fiber optic,Month-to-month,77.49,2139.14,Yes,Yes
C0327,0,No,No,67,No,One year,65.63,4582.79,Yes,No
C0328,1,No,No,44,Fiber optic,Two year,52.72,2712.5,No,Yes
C0329,1,Yes,Yes,59,Fiber optic,Month-to-month,113.93,6848.27,Yes,Yes
C0330,0,No,Yes,11,Fiber optic,Two year,26.44,760.29,No,No
C0331,0,No,No,31,DSL,Month-to-month,112.95,3948.44,No,Yes
C0332,0,Yes,No,12,No,One year,102.32,1396.58,No,No
C0333,0,Yes,No,30,Fiber optic,Month-to-month,31.25,1302.23,No,No
C0334,1,No,No,19,Fiber optic,Month-to-month,75.63,1723.58,No,No
C0335,1,Yes,No,17,Fiber optic,Two year,106.39,1977.45,Yes,No
C0336,0,Yes,No,59,DSL,Two year,76.32,4997.14,No,Yes
C0337,0,Yes,No,62,DSL,One year,110.53,6865.48,No,No
C0338,0,Yes,No,5,Fiber optic,Month-to-month,114.18,697.22,No,Yes
C0339,0,Yes,No,31,DSL,Two year,61.08,2153.52,No,No
C0340,0,Yes,No,42,Fiber optic,Month-to-month,56.49,2633.56,No,Yes
C0341,0,No,No,1,Fiber optic,Two year,113.5,407.97,No,No
C0342,0,No,No,59,Fiber optic,Month-to-month,86.86,5500.58,Yes,Yes
C0343,0,Yes,No,22,Fiber optic,Month-to-month,29.83,968.0,Yes,No
C0344,0,Yes,No,30,Fiber optic,One year,22.31,969.44,No,Yes
C0345,0,No,No,4,Fiber optic,Month-to-month,75.59,329.12,No,Yes
C0346,0,Yes,Yes,33,Fiber optic,Month-to-month,112.88,3913.31,No,Yes
C0347,0,No,No,9,Fiber optic,Month-to-month,104.11,1053.02,No,Yes
C0348,0,Yes,No,1,Fiber optic,Month-to-month,86.94,219.63,No,Yes
C0349,1,No,No,10,No,Month-to-month,32.19,599.07,No,Yes
C0350,0,No,No,49,DSL,Month-to-month,43.93,2252.32,No,Yes
C0351,1,Yes,No,30,Fiber optic,Month-to-month,107.3,3365.97,Yes,Yes
C0352,1,Yes,No,55,No,Month-to-month,36.65,2134.29,No,No
C0353,0,Yes,No,72,Fiber optic,One year,46.4,3815.05,No,No
C0354,0,Yes,No,8,DSL,Month-to-month,31.22,722.09,Yes,No
C0355,0,No,No,20,Fiber optic,Two year,86.96,2044.17,No,Yes
C0356,1,Yes,No,72,DSL,Two year,114.29,8691.14,No,No
C0357,1,No,No,27,DSL,Month-to-month,45.43,1619.52,Yes,Yes
C0358,0,Yes,No,61,No,One year,66.49,4350.86,No,No
C0359,0,No,Yes,6,Fiber optic,Two year,82.7,499.42,No,No
C0360,0,Yes,Yes,15,DSL,Two year,119.95,2185.51,Yes,No
C0361,0,Yes,No,3,No,One year,28.69,437.31,No,Yes
C0362,0,No,No,3,No,Month-to-month,68.85,514.18,Yes,No
C0363,0,Yes,No,39,Fiber optic,One year,57.28,2614.13,No,No
